Exp Name,Alfalfa,Barley,Grain,Potatoes,Sugarbeets,,,,,,,,,,,,,
Cropscape,27.11122279,17.11568872,23.77406375,12.90137631,19.09764842,,,,,,,,,,,,,
TPB,6.102494,20.249676,25.46902,21.59812,26.58069,,,,,,,,,,,,,
IAC,21.837685,5.972326,22.95619,27.88247,21.35133,,,,,,,,,,,,,
RA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
