"BehaviorSpace results (NetLogo 6.0.2)"
"ESPA Farmer Adaptation Model.nlogo"
"GeneratingWorlds-Thesis"
"04/10/2019 23:10:54:552 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","308","0","216"
"[run number]","PerceptionThreshold","BeliefInSocialSanctionsAverage","FixRandomSeed?","PrintReporters?","Simulate-ESPA_CAMP","WriteDetailedCropBudgets?","IAC-PhysArous-Threshold","F-Ratio-V","RandomStartingMoney","F-Ratio-W","WriteOutputs?","UseRandomRotations?","WaterRightDistribution","Run-Number","RandomSeed","Animate?","TypicalAmountFarmerIsWillingToLosePerField","ROISeasonTolerance","Social-Connections-per-Farmer","InputIntensityDistribution","Lognormal-Sigma","IACSocialScalar","IndividualFieldCalcs?","Tracers?","BeliefInESPASD","BeliefInSocialSanctionsSD","NumberOfSeasons","IACHabitScalar","AcreageDistributionType","BeliefInESPAAverage","CustomFarmerAccess","PopulateMethod","BeliefsInEconomicSanctionsSD","water-preference","OffsetIrrigationWithSkill?","WorldFileName","ChargeForOverdraw","Consultants-per-Farmer","BeliefInEconomicSanctionsAverage","TPBFinancialScalar","Use-Aqua-Crop","Decision-Making","GWD","PercVarWillingnessToLose","WaterRightSeniorityDistribution","[step]","count farmers","count patches with [owner != 0]","count farmers with [farmsize < 50]","count farmers with [farmsize > 50 AND farmsize < 100]","count farmers with [farmsize > 100 AND farmsize < 500]","count farmers with [farmsize > 500 AND farmsize < 1000]","count farmers with [farmsize > 1000 AND farmsize < 10000]","count farmers with [rotation = ""PotatoBeetGrainGrain""]","count farmers with [rotation = ""PotatoGrainBeetGrain""]","count farmers with [rotation = ""HayGrain""]","count farmers with [rotation = ""HayGrainPotatoGrain""]","count farmers with [rotation = ""PotatoGrainGrain""]","count farmers with [rotation = ""HayBarleyPotato""]","count farmers with [rotation = ""HayGrainGrainPotato""]","count farmers with [rotation = ""GrainPotatoBeetsHay""]","count farmers with [rotation = ""Landlord""]"
"1","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","1","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","0","529","16798","301","50","125","5","48","23","15","106","162","33","48","90","52","0"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","1","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","0","529","16789","292","62","120","5","50","65","101","92","0","0","191","0","80","0"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","0","529","16803","286","67","121","5","50","53","26","32","58","84","0","143","133","0"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","3","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","0","529","16787","285","81","109","7","47","18","48","286","2","40","0","63","72","0"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","1","529","16800","290","65","119","11","44","53","103","16","51","18","125","29","134","0"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","1","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","1","529","16792","286","61","128","7","47","75","63","80","0","0","225","0","86","0"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","3","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","1","529","16785","291","67","116","5","50","6","80","153","162","35","0","15","78","0"
"1","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","1","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","1","529","16789","303","51","119","12","44","98","11","111","117","89","0","83","20","0"
"6","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","3","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","0","529","16806","287","66","121","6","49","70","68","90","0","0","233","0","68","0"
"5","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","0","529","16797","286","65","122","5","51","99","75","78","0","0","193","0","84","0"
"6","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","3","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","1","529","16801","298","54","122","10","45","80","64","89","0","0","221","0","75","0"
"5","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","1","529","16787","299","67","107","8","48","94","79","85","0","0","194","0","77","0"
