"BehaviorSpace results (NetLogo 6.0.2)"
"ESPA Farmer Adaptation Model.nlogo"
"GeneratingWorlds"
"04/08/2019 16:21:28:877 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","308","0","216"
"[run number]","PerceptionThreshold","BeliefInSocialSanctionsAverage","FixRandomSeed?","PrintReporters?","Simulate-ESPA_CAMP","WriteDetailedCropBudgets?","IAC-PhysArous-Threshold","F-Ratio-V","RandomStartingMoney","F-Ratio-W","WriteOutputs?","UseRandomRotations?","WaterRightDistribution","Run-Number","RandomSeed","Animate?","TypicalAmountFarmerIsWillingToLosePerField","ROISeasonTolerance","Social-Connections-per-Farmer","InputIntensityDistribution","Lognormal-Sigma","IACSocialScalar","IndividualFieldCalcs?","Tracers?","BeliefInESPASD","BeliefInSocialSanctionsSD","NumberOfSeasons","IACHabitScalar","AcreageDistributionType","BeliefInESPAAverage","CustomFarmerAccess","PopulateMethod","BeliefsInEconomicSanctionsSD","water-preference","OffsetIrrigationWithSkill?","WorldFileName","ChargeForOverdraw","Consultants-per-Farmer","BeliefInEconomicSanctionsAverage","TPBFinancialScalar","Use-Aqua-Crop","Decision-Making","GWD","PercVarWillingnessToLose","WaterRightSeniorityDistribution","[step]","count farmers","count patches with [owner != 0]","count farmers with [farmsize < 50]","count farmers with [farmsize > 50 AND farmsize < 100]","count farmers with [farmsize > 100 AND farmsize < 500]","count farmers with [farmsize > 500 AND farmsize < 1000]","count farmers with [farmsize > 1000 AND farmsize < 10000]","count farmers with [rotation = ""PotatoBeetGrainGrain""]","count farmers with [rotation = ""PotatoGrainBeetGrain""]","count farmers with [rotation = ""HayGrain""]","count farmers with [rotation = ""HayGrainPotatoGrain""]","count farmers with [rotation = ""PotatoGrainGrain""]","count farmers with [rotation = ""HayBarleyPotato""]","count farmers with [rotation = ""HayGrainGrainPotato""]","count farmers with [rotation = ""GrainPotatoBeetsHay""]","count farmers with [rotation = ""Landlord""]"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Carey Valley GWD""","5","""Uniform""","0","188","4616","102","23","37","12","14","10","18","49","44","26","0","31","10","0"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Bonneville-Jefferson GWD""","5","""Uniform""","0","849","14810","606","66","97","24","56","148","26","287","130","19","42","2","195","0"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Carey Valley GWD""","5","""Uniform""","1","188","4615","103","29","24","14","18","5","54","12","73","16","0","22","6","0"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Bonneville-Jefferson GWD""","5","""Uniform""","1","849","14813","608","63","94","21","63","93","159","124","67","18","120","119","149","0"
"1","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Aberdeen-American Falls GWD""","5","""Uniform""","0","489","16297","280","40","71","21","77","98","118","158","83","4","0","26","2","0"
"6","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","0","529","16806","286","65","123","8","47","42","74","129","155","16","11","83","19","0"
"5","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Jefferson-Clark GWD""","5","""Uniform""","0","433","10411","277","40","71","12","33","24","66","82","14","46","46","79","76","0"
"6","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","1","529","16800","290","65","119","11","44","53","103","16","51","18","125","29","134","0"
"1","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Aberdeen-American Falls GWD""","5","""Uniform""","1","489","16304","274","35","82","27","71","92","54","46","100","50","0","87","60","0"
"5","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Jefferson-Clark GWD""","5","""Uniform""","1","433","10395","261","44","82","12","34","48","42","159","10","133","0","17","24","0"
"7","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""North Snake GWD""","5","""Uniform""","0","494","12843","287","57","108","4","38","76","81","7","170","37","64","14","45","0"
"7","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","2","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""North Snake GWD""","5","""Uniform""","1","494","12831","284","63","105","8","34","106","9","132","36","56","0","99","56","0"
