"BehaviorSpace results (NetLogo 6.0.2)"
"ESPA Farmer Adaptation Model.nlogo"
"GeneratingWorlds"
"04/03/2019 00:28:33:333 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","391","0","280"
"[run number]","PerceptionThreshold","BeliefInSocialSanctionsAverage","FixRandomSeed?","PrintReporters?","Simulate-ESPA_CAMP","WriteDetailedCropBudgets?","IAC-PhysArous-Threshold","F-Ratio-V","RandomStartingMoney","F-Ratio-W","WriteOutputs?","UseRandomRotations?","WaterRightDistribution","Run-Number","RandomSeed","Animate?","TypicalAmountFarmerIsWillingToLosePerField","ROISeasonTolerance","Social-Connections-per-Farmer","InputIntensityDistribution","Lognormal-Sigma","IACSocialScalar","IndividualFieldCalcs?","Tracers?","BeliefInESPASD","BeliefInSocialSanctionsSD","NumberOfSeasons","IACHabitScalar","AcreageDistributionType","BeliefInESPAAverage","CustomFarmerAccess","PopulateMethod","BeliefsInEconomicSanctionsSD","water-preference","OffsetIrrigationWithSkill?","WorldFileName","ChargeForOverdraw","Consultants-per-Farmer","BeliefInEconomicSanctionsAverage","TPBFinancialScalar","Use-Aqua-Crop","Decision-Making","GWD","PercVarWillingnessToLose","WaterRightSeniorityDistribution","[step]","count farmers","count patches with [owner != 0]","count farmers with [farmsize < 50]","count farmers with [farmsize > 50 AND farmsize < 100]","count farmers with [farmsize > 100 AND farmsize < 500]","count farmers with [farmsize > 500 AND farmsize < 1000]","count farmers with [farmsize > 1000 AND farmsize < 10000]","count farmers with [rotation = ""PotatoBeetGrainGrain""]","count farmers with [rotation = ""PotatoGrainBeetGrain""]","count farmers with [rotation = ""HayGrain""]","count farmers with [rotation = ""HayGrainPotatoGrain""]","count farmers with [rotation = ""PotatoGrainGrain""]","count farmers with [rotation = ""HayBarleyPotato""]","count farmers with [rotation = ""HayGrainGrainPotato""]","count farmers with [rotation = ""GrainPotatoBeetsHay""]","count farmers with [rotation = ""Landlord""]"
"1","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","25","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Bingham GWD""","5","""Uniform""","0","1247","33665","846","86","179","19","117","243","108","70","268","127","0","189","242","0"
"1","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","25","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Bingham GWD""","5","""Uniform""","1","1247","33683","829","108","170","32","108","170","7","443","28","145","140","122","192","0"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","25","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Bonneville-Jefferson GWD""","5","""Uniform""","0","849","14801","617","71","77","18","66","127","52","115","233","39","85","132","66","0"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","25","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Bonneville-Jefferson GWD""","5","""Uniform""","1","849","14820","604","67","93","25","60","81","169","21","114","44","133","106","181","0"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","25","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Carey Valley GWD""","5","""Uniform""","0","188","4613","107","26","25","11","19","13","7","53","29","52","0","7","27","0"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","25","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Carey Valley GWD""","5","""Uniform""","1","188","4616","108","23","27","12","18","1","22","68","73","6","0","4","14","0"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","25","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Jefferson-Clark GWD""","5","""Uniform""","0","433","10405","270","44","74","9","36","34","11","87","35","8","110","87","61","0"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","25","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Jefferson-Clark GWD""","5","""Uniform""","1","433","10402","272","33","83","7","38","78","51","28","94","46","0","59","77","0"
"5","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","25","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","0","529","16793","297","54","124","6","48","64","92","40","14","90","0","133","96","0"
"5","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","25","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","1","529","16794","292","62","119","4","52","106","102","55","136","13","21","52","44","0"
"6","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","25","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""North Snake GWD""","5","""Uniform""","0","494","12831","290","57","105","4","38","17","103","23","147","3","114","44","43","0"
"6","0.5","0.5","true","false","true","true","2.5","0","false","0","true","true","""Normal""","0","25","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""North Snake GWD""","5","""Uniform""","1","494","12838","283","71","99","4","37","23","43","119","91","25","0","101","92","0"
