"BehaviorSpace results (NetLogo 6.0.2)"
"ESPA Farmer Adaptation Model.nlogo"
"Thesis Experiment-Refined after interrupt"
"04/16/2019 21:19:15:828 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","308","0","216"
"[run number]","PerceptionThreshold","BeliefInSocialSanctionsAverage","FixRandomSeed?","Simulate-ESPA_CAMP","ExperimentVariablesFile","PrintReporters?","WriteCropBudgets?","IAC-PhysArous-Threshold","WriteDetailedCropBudgets?","F-Ratio-V","RandomStartingMoney","WriteOutputs?","F-Ratio-W","UseRandomRotations?","WaterRightDistribution","Run-Number","RandomSeed","TypicalAmountFarmerIsWillingToLosePerField","Animate?","ROISeasonTolerance","Social-Connections-per-Farmer","InputIntensityDistribution","Lognormal-Sigma","InternalScalar","IndividualFieldCalcs?","Tracers?","BeliefInESPASD","GeneratingWorlds?","BeliefInSocialSanctionsSD","ExternalScalar","NumberOfSeasons","EfficacyScalar","AcreageDistributionType","RhythmScalar","InterfaceVariableFileName","BeliefInESPAAverage","CustomFarmerAccess","PopulateMethod","BeliefsInEconomicSanctionsSD","water-preference","OffsetIrrigationWithSkill?","WorldFileName","ChargeForOverdraw","Consultants-per-Farmer","BeliefInEconomicSanctionsAverage","Use-Aqua-Crop","Decision-Making","PercVarWillingnessToLose","GWD","WaterRightSeniorityDistribution","[step]","count farmers","ExperimentName","RandomSeed","Decision-Making","ExperimentalToleranceforLoss","InternalScalar","ExternalScalar","EfficacyScalar","RhythmScalar","PerceptionThreshold","count patches with [owner != 0]","count farmers with [farmsize < 50]","count farmers with [farmsize > 50 AND farmsize < 100]","count farmers with [farmsize > 100 AND farmsize < 500]","count farmers with [farmsize > 500 AND farmsize < 1000]","count farmers with [farmsize > 1000 AND farmsize < 10000]","count farmers with [rotation = ""PotatoBeetGrainGrain""]","count farmers with [rotation = ""PotatoGrainBeetGrain""]","count farmers with [rotation = ""HayGrain""]","count farmers with [rotation = ""HayGrainPotatoGrain""]","count farmers with [rotation = ""PotatoGrainGrain""]","count farmers with [rotation = ""HayBarleyPotato""]","count farmers with [rotation = ""HayGrainGrainPotato""]","count farmers with [rotation = ""GrainPotatoBeetsHay""]","count farmers with [rotation = ""Landlord""]","count patches with [PreferredLandUse = ""Alfalfa""]","count patches with [PreferredLandUse = ""Barley""]","count patches with [PreferredLandUse = ""Corn""]","count patches with [PreferredLandUse = ""Potatoes""]","count patches with [PreferredLandUse = ""Spring Wheat""]","count patches with [PreferredLandUse = ""Sugarbeets""]","count patches with [PreferredLandUse = ""Winter Wheat""]","count patches with [PreferredLandUse = ""Alfalfa_Perennial""]","count patches with [TypeOfIrrigation = ""Center Pivot LEPA""]","count patches with [TypeOfIrrigation = ""Center Pivot LESA""]","count patches with [TypeOfIrrigation = ""Center Pivot MESA""]","count patches with [TypeOfIrrigation = ""Drip Tape""]","count patches with [TypeOfIrrigation = ""Furrow""]","NumberOfFarmersWithChangedWM"
"4","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-1_RS-1_PT-0.25.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs4.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","0","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-1_RS-1_PT-0.25""","1","""IAC Framework""","2500","1.5","0.5","1","1","0.25","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","0","0","0","0","0","0","0","0","0","0","1123","7","288","[]"
"1","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs4.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","0","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","0","0","0","0","0","0","0","0","0","0","1123","7","288","[]"
"3","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs6.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","0","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16790","293","56","126","5","49","85","79","78","0","0","210","0","77","0","0","0","0","0","0","0","0","0","0","0","1128","5","282","[]"
"2","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs5.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","0","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16801","295","63","115","6","50","76","88","89","0","0","199","0","77","0","0","0","0","0","0","0","0","0","0","0","1118","10","299","[]"
"4","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-1_RS-1_PT-0.25.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs4.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","1","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-1_RS-1_PT-0.25""","1","""IAC Framework""","2500","1.5","0.5","1","1","0.25","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","350","103","19","439","8","499","0","0","78","0","1060","6","274","[78]"
"3","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs6.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","1","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16790","293","56","126","5","49","85","79","78","0","0","210","0","77","0","327","74","32","456","16","510","0","0","38","0","1103","4","270","[38]"
"2","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs5.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","1","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16801","295","63","115","6","50","76","88","89","0","0","199","0","77","0","365","75","25","421","27","514","0","0","45","0","1078","10","294","[45]"
"1","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs4.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","1","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","350","76","35","432","19","506","0","0","51","0","1081","6","280","[51]"
"3","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs6.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","2","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16790","293","56","126","5","49","85","79","78","0","0","210","0","77","0","55","66","30","529","13","653","0","69","44","0","1098","4","269","[38 6]"
"4","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-1_RS-1_PT-0.25.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs4.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","2","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-1_RS-1_PT-0.25""","1","""IAC Framework""","2500","1.5","0.5","1","1","0.25","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","33","99","20","496","8","705","0","57","83","0","1056","6","273","[78 5]"
